"name","description","category","subCategory","stockQty","isOrganic","isFeatured","isAvailable","tags","images","v1_size","v1_unit","v1_mrp","v1_price","v1_sku","v2_size","v2_unit","v2_mrp","v2_price","v2_sku","v3_size","v3_unit","v3_mrp","v3_price","v3_sku"
"Kesar Alphonso Mangoes","Sun-ripened Alphonso mangoes from Ratnagiri with honey-sweet flesh and saffron aroma — the king of mangoes","Fresh Fruits","","80","true","true","true","mango,alphonso,kesar,premium","https://images.unsplash.com/photo-1601493700631-2b16ec4b4716?w=600&q=80","500g","g","249","209","ALPH-500G","1kg","kg","469","399","ALPH-1KG","2kg","kg","899","749","ALPH-2KG"
"Banganapalli Mangoes","Large golden Banganapalli mangoes from Andhra with fibre-free flesh and mild sweetness","Fresh Fruits","","70","false","false","true","mango,banganapalli,andhra","https://images.unsplash.com/photo-1601493700631-2b16ec4b4716?w=600&q=80","1kg","kg","199","169","BANG-1KG","2kg","kg","379","319","BANG-2KG","","","","",""
"Royal Gala Apples","Crisp honey-sweet Royal Gala apples imported from New Zealand — perfect for snacking and salads","Fresh Fruits","","90","false","true","true","apple,gala,imported,crisp","https://images.unsplash.com/photo-1568702846914-96b305d2aaeb?w=600&q=80","4 pcs","pcs","149","129","GALA-4PCS","6 pcs","pcs","209","179","GALA-6PCS","1kg","kg","279","239","GALA-1KG"
"Shimla Fuji Apples","Firm juicy Fuji apples grown in the cool Himalayan hills of Himachal Pradesh with a balanced sweet-tart taste","Fresh Fruits","","80","false","false","true","apple,fuji,shimla,himachal","https://images.unsplash.com/photo-1568702846914-96b305d2aaeb?w=600&q=80","4 pcs","pcs","129","109","FUJI-4PCS","1kg","kg","239","199","FUJI-1KG","","","","",""
"Robusta Bananas","Farm-ripened Robusta bananas packed with potassium and quick energy — great pre-workout or as a breakfast","Fresh Fruits","","120","false","false","true","banana,robusta,energy,potassium","https://images.unsplash.com/photo-1571771894821-ce9b6c11b08e?w=600&q=80","6 pcs","pcs","49","39","ROB-6PCS","12 pcs","pcs","89","69","ROB-12PCS","","","","",""
"Red Watermelon Seedless","Chilled seedless watermelon with sweet crimson flesh and 92% water content — summer essential","Fresh Fruits","","30","false","true","true","watermelon,seedless,summer,hydration","https://images.unsplash.com/photo-1563114773-84221bd62daa?w=600&q=80","1 pc","pcs","199","169","WMEL-1PC","","","","","","","","","",""
"Thompson Seedless Grapes","Crunchy pale-green seedless grapes with a perfectly balanced sweet-tart bite","Fresh Fruits","","70","false","true","true","grapes,thompson,seedless,green","https://images.unsplash.com/photo-1537640538966-79f369143f8f?w=600&q=80","500g","g","129","109","TGRP-500G","1kg","kg","239","199","TGRP-1KG","","","","",""
"Black Muscat Grapes","Plump black Muscat grapes with a deep sweet floral flavour — rich in resveratrol","Fresh Fruits","","60","false","false","true","grapes,black,muscat,antioxidant","https://images.unsplash.com/photo-1537640538966-79f369143f8f?w=600&q=80","500g","g","149","129","BGRP-500G","1kg","kg","279","239","BGRP-1KG","","","","",""
"Strawberries Premium","Hand-picked plump strawberries bursting with sweetness — perfect for smoothies cakes and fresh eating","Fresh Fruits","","50","false","true","true","strawberry,premium,fresh,berries","https://images.unsplash.com/photo-1464965911861-746a04b4bca6?w=600&q=80","250g","g","149","129","STRW-250G","500g","g","279","239","STRW-500G","","","","",""
"Kiwi Zespri Green","Premium Zespri green kiwis bursting with vitamin C — one kiwi provides your full daily vitamin C requirement","Fresh Fruits","","80","false","false","true","kiwi,zespri,vitamin-c,green","https://images.unsplash.com/photo-1585059895524-72359e06133a?w=600&q=80","4 pcs","pcs","129","109","KIWI-4PCS","6 pcs","pcs","189","159","KIWI-6PCS","","","","",""
"Mosambi Sweet Lime","Juicy Nagpur sweet lime full of natural electrolytes and vitamin C — best consumed fresh","Fresh Fruits","","100","false","false","true","mosambi,sweetlime,citrus,nagpur","https://images.unsplash.com/photo-1526318472351-c75fcf070305?w=600&q=80","4 pcs","pcs","69","54","MOS-4PCS","8 pcs","pcs","129","99","MOS-8PCS","","","","",""
"Papaya Ripe Orange","Ripe orange-fleshed papaya rich in papain enzyme and beta-carotene — excellent for digestion","Fresh Fruits","","60","false","false","true","papaya,ripe,digestive,tropical","https://images.unsplash.com/photo-1517282009859-f000ec3b26fe?w=600&q=80","500g","g","59","49","PAP-500G","1kg","kg","109","89","PAP-1KG","","","","",""
"Pomegranate Bhagwa","Premium Bhagwa pomegranate with deep red arils and superior sweetness — a heart-health superfood","Fresh Fruits","","50","false","true","true","pomegranate,bhagwa,superfood,antioxidant","https://images.unsplash.com/photo-1615485290382-bc895f8b4a51?w=600&q=80","500g","g","129","109","POM-500G","1kg","kg","239","199","POM-1KG","","","","",""
"Pink Guava Fresh","Soft pink-flesh guavas with tropical aroma — exceptionally high in vitamin C and dietary fibre","Fresh Fruits","","90","false","false","true","guava,pink,vitamin-c,tropical","https://images.unsplash.com/photo-1536511132770-e5058c7e8c46?w=600&q=80","500g","g","59","49","GUAV-500G","1kg","kg","109","89","GUAV-1KG","","","","",""
"Tender Coconut Fresh","Fresh tender coconuts with sweet refreshing water and soft malai — nature's isotonic drink","Fresh Fruits","","50","false","false","true","coconut,tender,nariyal,refreshing","https://images.unsplash.com/photo-1550159930-40066082a4fc?w=600&q=80","1 pc","pcs","49","39","COCO-1PC","2 pcs","pcs","89","69","COCO-2PCS","","","","",""
"Country Tomatoes Desi","Farm-fresh desi tomatoes with bold flavour and rich red colour — the backbone of Indian curries","Fresh Vegetables","","200","false","false","true","tomato,desi,fresh,curry","https://images.unsplash.com/photo-1592924357228-91a4daadcfea?w=600&q=80","500g","g","39","29","TOM-500G","1kg","kg","69","54","TOM-1KG","3kg","kg","189","149","TOM-3KG"
"Red Onions Medium","Firm medium-sized red onions with pungent aroma — essential base for every Indian dish","Fresh Vegetables","","200","false","false","true","onion,red,pyaaz,fresh","https://images.unsplash.com/photo-1508747703725-719777637510?w=600&q=80","500g","g","29","24","ONI-500G","1kg","kg","49","39","ONI-1KG","3kg","kg","129","99","ONI-3KG"
"Baby Potatoes Tender","Small thin-skinned baby potatoes perfect for roasting chaat and dum aloo — no peeling needed","Fresh Vegetables","","120","false","false","true","potato,baby,aloo,tender","https://images.unsplash.com/photo-1518977676601-b53f82aba655?w=600&q=80","500g","g","49","39","BPOT-500G","1kg","kg","89","69","BPOT-1KG","","","","",""
"Agra Potatoes Large","Firm large Agra potatoes with floury texture — ideal for sabzi mash and French fries","Fresh Vegetables","","150","false","false","true","potato,large,agra,aloo","https://images.unsplash.com/photo-1518977676601-b53f82aba655?w=600&q=80","1kg","kg","39","29","LPOT-1KG","3kg","kg","99","79","LPOT-3KG","5kg","kg","149","119","LPOT-5KG"
"Organic Spinach Palak","Fresh organic spinach leaves packed with iron folate and vitamin K — great for dal palak and smoothies","Fresh Vegetables","","80","true","false","true","spinach,palak,organic,iron","https://images.unsplash.com/photo-1576045057995-568f588f82fb?w=600&q=80","250g","g","39","29","SPIN-250G","500g","g","69","54","SPIN-500G","","","","",""
"English Cucumber Long","Seedless English cucumber with thin edible skin mild flavour and high hydration","Fresh Vegetables","","90","false","false","true","cucumber,english,kakdi,salad","https://images.unsplash.com/photo-1568584711271-6c929fb49b60?w=600&q=80","2 pcs","pcs","49","39","ECUC-2PCS","4 pcs","pcs","89","69","ECUC-4PCS","","","","",""
"Red Capsicum","Sweet vibrant red capsicum loaded with vitamin C and antioxidants — ideal for stir fries and grilling","Fresh Vegetables","","70","false","false","true","capsicum,red,shimla,pepper","https://images.unsplash.com/photo-1563565375-f3fdfdbefa83?w=600&q=80","2 pcs","pcs","79","64","RCAP-2PCS","500g","g","99","79","RCAP-500G","","","","",""
"Yellow Capsicum","Mild golden-yellow capsicum with a sweet fruity crunch — adds colour and sweetness to dishes","Fresh Vegetables","","60","false","false","true","capsicum,yellow,shimla,sweet","https://images.unsplash.com/photo-1563565375-f3fdfdbefa83?w=600&q=80","2 pcs","pcs","89","74","YCAP-2PCS","500g","g","109","89","YCAP-500G","","","","",""
"Broccoli Crown","Fresh tender broccoli crown with tightly packed florets rich in sulforaphane and vitamin C","Fresh Vegetables","","60","false","true","true","broccoli,superfood,green,crown","https://images.unsplash.com/photo-1459411621453-7b03977f4bfc?w=600&q=80","500g","g","99","84","BROC-500G","1kg","kg","189","159","BROC-1KG","","","","",""
"Orange Carrots Nantes","Sweet tender Nantes variety carrots high in beta-carotene — great for juicing salads and halwa","Fresh Vegetables","","100","false","false","true","carrot,nantes,orange,betacarotene","https://images.unsplash.com/photo-1598170845058-32b9d6a5da37?w=600&q=80","500g","g","39","29","CAR-500G","1kg","kg","69","54","CAR-1KG","","","","",""
"White Button Mushrooms","Plump white button mushrooms with earthy umami flavour — versatile in pasta curries and soups","Fresh Vegetables","","70","false","false","true","mushroom,button,fungi,umami","https://images.unsplash.com/photo-1504545102780-26774c1bb073?w=600&q=80","200g","g","79","64","MUSH-200G","500g","g","179","149","MUSH-500G","","","","",""
"Sweet Corn Cobs","Farm-fresh golden sweet corn with plump juicy kernels — perfect for grilling raita and chaat","Fresh Vegetables","","80","false","false","true","corn,makai,sweet,cob","https://images.unsplash.com/photo-1508061253366-f7da158b6d46?w=600&q=80","2 pcs","pcs","49","39","CORN-2PCS","4 pcs","pcs","89","69","CORN-4PCS","","","","",""
"Fresh Green Peas Shelled","Sweet tender green peas freshly shelled — perfect for matar paneer pulao and Punjabi curries","Fresh Vegetables","","90","false","false","true","peas,matar,green,shelled","https://images.unsplash.com/photo-1563305289-09a672f87edc?w=600&q=80","250g","g","59","49","PEAS-250G","500g","g","109","89","PEAS-500G","","","","",""
"Cauliflower Fresh Whole","Fresh white cauliflower with tightly packed curd-like florets — ideal for aloo gobi roasts and soups","Fresh Vegetables","","70","false","false","true","cauliflower,gobhi,white,fresh","https://images.unsplash.com/photo-1510627489930-0c1b0bfb6785?w=600&q=80","1 pc","pcs","59","49","GOBI-1PC","2 pcs","pcs","109","89","GOBI-2PCS","","","","",""
"Purple Brinjal Eggplant","Glossy purple brinjal with tender seedy flesh — essential for baingan bharta grills and curries","Fresh Vegetables","","80","false","false","true","brinjal,eggplant,baingan,purple","https://images.unsplash.com/photo-1615484477778-ca3b77940c25?w=600&q=80","500g","g","39","29","BRG-500G","1kg","kg","69","54","BRG-1KG","","","","",""
"French Beans Crisp","Slender crisp French beans with a satisfying snap — great for stir fries thoran and salads","Fresh Vegetables","","70","false","false","true","beans,french,green,crisp","https://images.unsplash.com/photo-1543363136-3fdb62e11be5?w=600&q=80","250g","g","49","39","FRNB-250G","500g","g","89","69","FRNB-500G","","","","",""
